,t,ax,ay,az,wx,wy,wz
4807,16250.0,-5.69,-1.04,-10.29,2.45,-0.31,-1.13
4808,16253.0,-5.46,-1.23,-10.43,2.73,-0.35,-1.17
4809,16257.0,-5.26,-1.49,-10.71,2.94,-0.38,-1.24
4810,16260.0,-5.23,-1.54,-10.94,3.24,-0.3,-1.33
4811,16263.0,-5.31,-1.84,-11.27,3.4,-0.22,-1.41
4812,16267.0,-5.52,-1.97,-11.48,3.42,-0.13,-1.54
4813,16270.0,-5.6,-2.14,-11.7,3.39,-0.02,-1.71
4814,16273.0,-5.66,-2.5,-11.74,3.21,0.2,-1.96
4815,16276.0,-5.69,-2.72,-11.72,3.0,0.41,-2.17
4816,16280.0,-5.61,-2.84,-11.7,2.72,0.61,-2.38
4817,16283.0,-5.45,-3.06,-11.68,2.41,0.81,-2.57
4818,16286.0,-5.18,-2.95,-11.52,1.96,1.04,-2.75
4819,16289.0,-4.97,-2.81,-11.32,1.66,1.18,-2.82
4820,16303.0,-4.79,-2.4,-10.41,0.79,1.14,-2.67
4821,16306.0,-4.81,-2.26,-10.42,0.66,0.97,-2.64
4822,16309.0,-4.68,-2.38,-10.56,0.6,0.9,-2.58
4823,16313.0,-4.77,-2.55,-10.96,0.63,0.95,-2.63
4824,16316.0,-4.74,-2.41,-10.88,0.7,1.07,-2.68
4825,16319.0,-4.95,-2.08,-10.71,0.77,1.18,-2.66
4826,16323.0,-5.08,-1.71,-10.53,0.81,1.15,-2.57
4827,16326.0,-4.85,-0.35,-12.95,0.84,1.2,-2.42
4828,16329.0,-4.16,0.1,-12.89,0.82,1.99,-1.79
4829,16332.0,-3.57,-0.63,-11.77,0.91,2.18,-1.41
4830,16336.0,-4.02,-1.06,-11.23,1.0,2.32,-1.17
4831,16339.0,-3.78,-0.98,-11.06,0.98,2.48,-0.8
4832,16342.0,-3.63,-1.4,-10.23,1.1,2.56,-0.32
4833,16345.0,-3.32,-1.95,-9.77,1.25,2.46,-0.08
4834,16349.0,-3.34,-2.04,-9.69,1.53,2.32,0.06
4835,16352.0,-3.61,-1.93,-9.51,1.87,2.09,0.15
4836,16355.0,-4.15,-2.98,-9.41,2.15,1.87,0.23
4837,16358.0,-4.69,-2.95,-9.09,2.48,1.66,0.24
4838,16362.0,-5.26,-2.94,-9.2,2.75,1.3,0.17
4839,16365.0,-5.48,-2.72,-9.47,2.96,0.96,0.11
4840,16368.0,-5.66,-3.01,-9.3,3.27,0.63,0.17
4841,16371.0,-5.62,-3.16,-9.4,3.48,0.26,0.15
4842,16375.0,-5.56,-3.28,-9.82,3.66,-0.02,0.11
4843,16378.0,-5.53,-3.59,-9.96,3.81,-0.18,0.12
4844,16381.0,-5.45,-3.97,-10.06,4.0,-0.41,0.09
4845,16384.0,-5.34,-4.13,-10.21,4.13,-0.58,0.04
4846,16388.0,-5.18,-4.45,-10.35,4.18,-0.7,0.02
4847,16391.0,-5.02,-4.8,-10.46,4.22,-0.76,0.0
4848,16394.0,-4.76,-5.01,-10.61,4.27,-0.85,-0.07
4849,16397.0,-4.65,-4.98,-10.79,4.31,-0.89,-0.15
4850,16401.0,-4.61,-5.04,-10.84,4.3,-0.88,-0.21
4851,16404.0,-4.58,-5.2,-10.72,4.28,-0.85,-0.27
4852,16407.0,-4.51,-5.3,-10.48,4.27,-0.84,-0.37
4853,16411.0,-4.32,-5.37,-10.26,4.23,-0.82,-0.45
4854,16424.0,-3.89,-5.33,-9.7,3.89,-0.81,-0.75
4855,16427.0,-3.72,-5.07,-9.62,3.79,-0.78,-0.78
4856,16431.0,-3.59,-4.8,-9.6,3.74,-0.76,-0.79
4857,16434.0,-3.45,-4.52,-9.44,3.74,-0.77,-0.78
4858,16437.0,-3.28,-4.46,-9.19,3.74,-0.8,-0.75
4859,16440.0,-3.02,-4.75,-8.95,3.65,-0.75,-0.67
4860,16444.0,-2.94,-4.93,-8.71,3.56,-0.72,-0.59
4861,16447.0,-2.8,-4.94,-8.47,3.46,-0.73,-0.52
4862,16450.0,-2.69,-4.85,-8.14,3.28,-0.73,-0.37
4863,16454.0,-2.64,-4.81,-7.79,3.11,-0.75,-0.22
4864,16457.0,-2.75,-4.9,-7.55,2.89,-0.78,-0.06
4865,16460.0,-2.98,-5.03,-7.46,2.61,-0.8,0.11
4866,16463.0,-3.37,-5.24,-7.37,2.19,-0.83,0.36
4867,16467.0,-3.75,-5.37,-7.35,1.87,-0.88,0.52
4868,16470.0,-4.09,-5.53,-7.38,1.55,-0.94,0.67
4869,16473.0,-4.41,-5.69,-7.45,1.26,-1.01,0.8
4870,16476.0,-4.77,-5.96,-7.55,0.92,-1.11,0.94
4871,16480.0,-5.02,-6.16,-7.58,0.72,-1.19,1.01
4872,16483.0,-5.21,-6.33,-7.66,0.57,-1.28,1.04
4873,16486.0,-5.37,-6.37,-7.9,0.5,-1.36,1.03
4874,16489.0,-5.42,-6.23,-8.34,0.53,-1.44,1.0
4875,16493.0,-5.32,-6.09,-8.54,0.65,-1.48,0.98
4876,16496.0,-5.23,-6.01,-8.61,0.81,-1.52,0.95
4877,16499.0,-5.15,-5.94,-8.67,1.06,-1.56,0.94
4878,16503.0,-5.11,-5.87,-8.74,1.25,-1.58,0.95
4879,16506.0,-5.02,-5.76,-8.83,1.47,-1.62,0.98
4880,16509.0,-4.96,-5.67,-8.88,1.69,-1.68,1.02
4881,16512.0,-4.99,-5.83,-8.76,1.94,-1.76,1.11
4882,16516.0,-5.04,-6.01,-8.57,2.1,-1.82,1.18
4883,16519.0,-5.07,-6.24,-8.49,2.23,-1.9,1.22
4884,16522.0,-5.08,-6.35,-8.6,2.33,-1.96,1.25
4885,16525.0,-5.11,-6.36,-8.68,2.46,-2.02,1.29
4886,16529.0,-5.15,-6.38,-8.6,2.55,-2.05,1.32
4887,16532.0,-5.15,-6.37,-8.59,2.64,-2.08,1.34
4888,16535.0,-5.14,-6.35,-8.59,2.73,-2.12,1.35
4889,16538.0,-5.22,-6.58,-8.45,2.8,-2.11,1.33
4890,16542.0,-5.23,-6.83,-8.26,2.83,-2.09,1.28
4891,16545.0,-5.31,-7.12,-8.09,2.83,-2.04,1.21
4892,16558.0,-5.65,-6.96,-7.79,2.74,-1.66,0.74
4893,16562.0,-5.7,-6.84,-7.74,2.68,-1.62,0.67
4894,16565.0,-5.96,-6.57,-7.51,2.56,-1.61,0.65
4895,16568.0,-6.25,-6.3,-7.68,2.41,-1.63,0.68
4896,16571.0,-6.43,-5.87,-7.16,2.23,-1.67,0.8
4897,16575.0,-6.47,-5.77,-6.08,2.12,-1.83,0.94
4898,16578.0,-6.45,-5.67,-5.69,2.04,-2.08,1.07
4899,16581.0,-6.5,-5.59,-5.22,1.96,-2.33,1.24
4900,16584.0,-6.65,-5.71,-4.7,1.86,-2.68,1.45
4901,16588.0,-6.86,-5.91,-4.81,1.79,-2.88,1.55
4902,16591.0,-7.05,-6.01,-5.09,1.75,-2.99,1.62
4903,16594.0,-7.05,-6.12,-5.27,1.74,-3.03,1.65
4904,16598.0,-6.96,-6.24,-5.43,1.81,-3.02,1.64
4905,16601.0,-6.82,-6.41,-5.4,1.89,-2.97,1.61
4906,16604.0,-6.66,-6.63,-5.38,1.97,-2.91,1.55
4907,16607.0,-6.57,-6.79,-5.34,2.02,-2.85,1.48
4908,16611.0,-6.61,-6.84,-5.26,2.06,-2.81,1.35
4909,16614.0,-6.69,-6.69,-5.25,2.08,-2.81,1.26
4910,16617.0,-6.84,-6.55,-5.19,2.08,-2.83,1.22
4911,16620.0,-6.98,-6.44,-5.08,2.05,-2.86,1.2
4912,16624.0,-7.09,-6.21,-4.96,2.0,-2.92,1.24
4913,16627.0,-7.14,-6.05,-4.87,1.96,-2.97,1.29
4914,16630.0,-7.15,-5.92,-4.74,1.94,-3.03,1.36
4915,16633.0,-7.22,-5.91,-4.55,1.96,-3.1,1.47
4916,16637.0,-7.24,-6.02,-4.38,1.98,-3.16,1.55
4917,16640.0,-6.76,-6.47,-4.29,2.0,-3.26,1.59
4918,16643.0,-6.79,-6.56,-4.25,2.04,-3.42,1.61
4919,16647.0,-7.08,-6.56,-4.21,2.11,-3.71,1.72
4920,16650.0,-7.37,-6.48,-4.13,2.2,-3.96,1.81
4921,16653.0,-7.73,-6.38,-3.98,2.34,-4.19,1.93
4922,16656.0,-8.01,-6.29,-3.77,2.5,-4.37,2.03
4923,16660.0,-8.23,-6.18,-3.5,2.79,-4.5,2.13
4924,16663.0,-8.27,-6.14,-3.27,3.02,-4.51,2.16
4925,16666.0,-8.19,-6.14,-3.05,3.23,-4.47,2.15
4926,16669.0,-8.13,-6.11,-2.87,3.41,-4.4,2.12
4927,16673.0,-8.03,-6.12,-2.55,3.55,-4.28,2.05
4928,16676.0,-7.99,-6.07,-2.29,3.6,-4.22,1.99
4929,16679.0,-7.9,-6.05,-2.05,3.63,-4.19,1.95
4930,16682.0,-7.86,-5.95,-1.88,3.66,-4.19,1.92
4931,16686.0,-7.88,-5.82,-1.66,3.73,-4.25,1.92
4932,16689.0,-7.95,-5.69,-1.51,3.81,-4.32,1.94
4933,16692.0,-8.06,-5.55,-1.38,3.93,-4.42,1.99
4934,16706.0,-8.18,-5.22,-0.71,4.7,-4.89,2.39
4935,16709.0,-8.21,-5.16,-0.51,4.8,-4.96,2.47
4936,16712.0,-8.25,-5.2,-0.44,4.86,-5.02,2.54
4937,16715.0,-8.3,-5.05,-0.28,5.0,-5.1,2.59
4938,16719.0,-8.37,-4.93,-0.07,5.11,-5.17,2.68
4939,16722.0,-8.43,-4.81,0.02,5.21,-5.21,2.75
4940,16725.0,-8.54,-4.6,0.14,5.29,-5.22,2.84
4941,16728.0,-8.59,-4.32,0.3,5.38,-5.22,2.93
4942,16732.0,-8.66,-4.07,0.55,5.51,-5.18,3.06
4943,16735.0,-8.9,-3.85,0.79,5.58,-5.13,3.18
4944,16738.0,-9.13,-3.75,0.86,5.62,-5.05,3.32
4945,16741.0,-9.48,-3.56,1.24,5.69,-4.95,3.49
4946,16745.0,-9.31,-3.6,1.24,5.85,-4.81,3.71
4947,16748.0,-9.15,-3.67,1.3,5.89,-4.69,3.84
4948,16751.0,-9.18,-3.56,1.51,5.94,-4.55,3.95
4949,16754.0,-9.14,-3.42,1.87,6.06,-4.41,4.03
4950,16758.0,-8.85,-3.37,1.95,6.1,-4.23,4.09
4951,16761.0,-8.62,-3.28,2.25,6.12,-4.08,4.08
4952,16764.0,-8.39,-3.17,2.23,6.13,-3.94,4.02
4953,16767.0,-8.15,-3.0,2.28,6.1,-3.8,3.93
4954,16771.0,-7.91,-2.73,2.37,5.92,-3.61,3.81
4955,16774.0,-7.8,-2.5,2.55,5.77,-3.49,3.71
4956,16777.0,-7.77,-2.26,2.78,5.61,-3.39,3.62
4957,16780.0,-7.75,-2.02,2.98,5.47,-3.32,3.53
4958,16784.0,-7.82,-1.71,3.19,5.29,-3.25,3.43
4959,16787.0,-7.85,-1.46,3.4,5.17,-3.23,3.38
4960,16790.0,-7.8,-1.23,3.56,5.07,-3.24,3.35
4961,16793.0,-7.7,-0.97,3.67,4.97,-3.25,3.34
4962,16797.0,-7.53,-0.62,3.83,4.83,-3.28,3.34
4963,16800.0,-7.44,-0.38,3.98,4.72,-3.3,3.34
4964,16803.0,-7.35,-0.13,4.08,4.59,-3.34,3.34
4965,16806.0,-7.31,0.09,4.21,4.44,-3.37,3.33
4966,16810.0,-7.23,0.35,4.41,4.28,-3.42,3.3
4967,16813.0,-7.17,0.45,4.57,4.17,-3.47,3.27
4968,16816.0,-7.1,0.58,4.71,4.09,-3.52,3.23
4969,16819.0,-7.09,0.72,4.73,4.03,-3.57,3.18
4970,16823.0,-7.08,0.85,4.75,3.99,-3.61,3.14
4971,16826.0,-7.04,0.94,4.65,3.94,-3.65,3.08
4972,16829.0,-7.01,1.02,4.63,3.91,-3.67,3.04
4973,16832.0,-6.94,1.1,4.68,3.9,-3.68,2.99
4974,16836.0,-6.9,1.18,4.72,3.9,-3.68,2.95
4975,16839.0,-6.75,1.42,4.77,3.95,-3.66,2.89
4976,16842.0,-6.65,1.64,4.79,3.99,-3.63,2.84
4977,16845.0,-6.55,1.89,4.85,4.01,-3.58,2.81
4978,16848.0,-6.49,2.13,4.94,4.02,-3.53,2.77
4979,16852.0,-6.44,2.34,5.15,4.01,-3.47,2.74
4980,16855.0,-6.37,2.53,5.53,4.02,-3.42,2.7
4981,16858.0,-6.29,2.61,5.86,4.07,-3.41,2.65
4982,16861.0,-6.14,2.64,6.17,4.14,-3.42,2.59
4983,16865.0,-5.97,2.65,6.36,4.26,-3.47,2.52
4984,16868.0,-5.77,2.73,6.33,4.43,-3.55,2.41
4985,16871.0,-5.62,2.87,6.34,4.56,-3.62,2.32
4986,16874.0,-5.42,3.05,6.39,4.71,-3.69,2.23
4987,16878.0,-5.28,3.22,6.34,4.87,-3.74,2.15
4988,16881.0,-5.07,3.43,6.34,5.06,-3.8,2.05
4989,16884.0,-4.88,3.55,6.37,5.2,-3.85,1.97
4990,16887.0,-4.73,3.66,6.26,5.35,-3.91,1.89
4991,16890.0,-4.64,3.79,5.99,5.45,-3.94,1.82
4992,16894.0,-4.58,3.97,5.82,5.51,-3.94,1.76
4993,16897.0,-4.49,4.22,5.71,5.6,-3.92,1.73
4994,16900.0,-4.46,4.39,5.46,5.65,-3.9,1.75
4995,16903.0,-4.35,4.54,5.39,5.67,-3.86,1.78
4996,16907.0,-4.21,4.67,5.42,5.7,-3.83,1.82
4997,16910.0,-4.03,4.82,5.4,5.72,-3.8,1.86
4998,16913.0,-3.97,4.92,5.29,5.7,-3.78,1.88
4999,16916.0,-3.95,5.09,5.13,5.66,-3.75,1.9
5000,16920.0,-3.92,5.29,5.11,5.62,-3.71,1.9
5001,16923.0,-3.86,5.45,5.17,5.6,-3.66,1.9
5002,16926.0,-3.78,5.63,5.03,5.59,-3.6,1.89
5003,16929.0,-3.72,5.75,4.99,5.56,-3.54,1.87
5004,16932.0,-3.59,5.86,5.04,5.55,-3.48,1.84
5005,16936.0,-3.5,6.01,5.04,5.55,-3.44,1.8
5006,16939.0,-3.37,6.24,4.87,5.57,-3.38,1.75
5007,16942.0,-3.2,6.45,4.66,5.59,-3.32,1.7
5008,16945.0,-3.01,6.7,4.41,5.59,-3.24,1.67
5009,16949.0,-2.8,6.92,4.28,5.58,-3.16,1.65
5010,16952.0,-2.58,7.19,4.2,5.57,-3.06,1.64
5011,16955.0,-2.44,7.3,4.09,5.59,-2.99,1.65
5012,16958.0,-2.34,7.34,3.92,5.6,-2.92,1.66
5013,16962.0,-2.24,7.29,3.67,5.59,-2.85,1.68
5014,16965.0,-2.19,7.21,3.28,5.54,-2.78,1.71
5015,16968.0,-2.07,7.17,3.08,5.37,-2.65,1.76
5016,16971.0,-1.94,7.24,3.07,5.22,-2.55,1.8
5017,16974.0,-1.89,7.36,3.22,5.07,-2.47,1.83
5018,16978.0,-1.77,7.58,3.26,4.93,-2.4,1.84
5019,16981.0,-1.72,7.86,3.17,4.67,-2.27,1.88
5020,16984.0,-1.83,8.06,3.05,4.45,-2.17,1.9
5021,16987.0,-1.88,8.29,3.01,4.23,-2.06,1.92
5022,16991.0,-1.85,8.35,2.97,4.02,-1.97,1.94
5023,16994.0,-1.9,8.53,2.8,3.89,-1.93,1.92
5024,16997.0,-1.7,8.58,2.52,3.59,-1.8,1.93
5025,17000.0,-1.46,8.68,2.29,3.29,-1.65,1.94
5026,17014.0,-1.6,8.71,2.7,2.65,-1.37,1.95
5027,17017.0,-1.6,8.64,2.68,2.75,-1.4,1.95
5028,17020.0,-1.38,8.68,2.45,2.86,-1.4,1.97
5029,17023.0,-1.22,8.65,2.35,2.93,-1.39,2.0
5030,17027.0,-1.11,8.66,2.3,2.99,-1.37,2.04
5031,17030.0,-0.99,8.72,2.16,3.02,-1.35,2.08
5032,17033.0,-0.9,8.63,2.1,2.98,-1.3,2.14
5033,17036.0,-0.81,8.55,1.97,2.98,-1.31,2.16
5034,17040.0,-0.7,8.43,1.74,2.98,-1.31,2.17
5035,17043.0,-0.63,8.36,1.53,2.96,-1.33,2.17
5036,17046.0,-0.55,8.35,1.32,2.93,-1.33,2.14
5037,17049.0,-0.51,8.39,1.26,2.88,-1.31,2.13
5038,17053.0,-0.56,8.38,1.3,2.83,-1.28,2.12
5039,17056.0,-0.57,8.3,1.61,2.83,-1.28,2.11
5040,17059.0,-0.32,7.83,3.63,3.21,-1.53,1.99
5041,17062.0,-0.46,7.82,3.27,3.59,-1.79,1.91
5042,17065.0,-0.59,7.81,2.6,3.87,-1.98,1.85
5043,17069.0,-0.66,7.88,2.02,4.09,-2.1,1.82
5044,17072.0,-0.68,8.02,1.58,4.24,-2.16,1.8
5045,17075.0,-0.67,8.12,1.3,4.38,-2.2,1.79
5046,17078.0,-0.59,8.12,1.09,4.45,-2.23,1.76
5047,17082.0,-0.53,8.06,0.99,4.5,-2.25,1.71
5048,17085.0,-0.47,8.04,0.8,4.56,-2.27,1.63
5049,17088.0,-0.42,8.11,0.36,4.61,-2.26,1.55
5050,17091.0,-0.28,8.19,0.15,4.65,-2.21,1.5
5051,17095.0,-0.13,8.23,-0.07,4.71,-2.15,1.46
5052,17098.0,0.05,8.25,-0.31,4.77,-2.07,1.43
5053,17101.0,0.21,8.22,-0.5,4.82,-1.99,1.4
5054,17104.0,0.36,8.19,-0.78,4.93,-1.87,1.35
5055,17107.0,0.56,8.25,-1.38,4.98,-1.76,1.31
5056,17111.0,0.68,8.25,-1.87,4.92,-1.65,1.3
5057,17114.0,0.91,8.26,-2.06,4.82,-1.53,1.28
5058,17117.0,1.19,8.35,-2.08,4.69,-1.39,1.25
5059,17120.0,1.35,8.4,-2.18,4.59,-1.34,1.22
5060,17124.0,1.46,8.42,-2.39,4.45,-1.31,1.19
5061,17127.0,1.53,8.35,-2.49,4.29,-1.29,1.15
5062,17130.0,1.74,8.36,-2.7,4.1,-1.28,1.11
5063,17133.0,1.78,8.4,-2.89,3.93,-1.29,1.09
5064,17137.0,1.68,8.57,-2.86,3.79,-1.27,1.08
5065,17140.0,1.17,8.92,-2.71,3.78,-1.2,1.11
5066,17143.0,1.35,9.05,-2.65,3.89,-1.11,1.15
5067,17146.0,1.23,8.96,-2.42,4.13,-0.96,1.22
5068,17150.0,1.33,8.88,-2.47,4.34,-0.88,1.28
5069,17153.0,1.57,8.75,-2.68,4.52,-0.82,1.32
5070,17156.0,1.71,8.66,-2.94,4.67,-0.73,1.33
5071,17159.0,1.93,8.67,-3.36,4.85,-0.61,1.32
5072,17162.0,2.21,8.6,-3.65,4.93,-0.53,1.27
5073,17166.0,2.36,8.5,-3.91,4.93,-0.48,1.22
5074,17169.0,2.43,8.48,-4.19,4.85,-0.46,1.17
5075,17172.0,2.48,8.56,-4.57,4.65,-0.46,1.13
5076,17175.0,2.51,8.61,-4.77,4.47,-0.46,1.14
5077,17179.0,2.56,8.61,-4.89,4.29,-0.47,1.16
5078,17182.0,2.62,8.53,-4.89,4.12,-0.48,1.18
5079,17185.0,2.72,8.37,-4.77,3.98,-0.51,1.19
5080,17188.0,2.85,8.07,-4.58,3.86,-0.57,1.17
5081,17191.0,2.78,7.72,-4.44,3.84,-0.62,1.13
5082,17195.0,2.4,6.78,-4.22,3.82,-0.69,1.0
5083,17198.0,2.34,5.98,-4.34,3.73,-0.82,0.76
5084,17201.0,2.51,4.71,-4.6,3.51,-1.02,0.32
5085,17204.0,3.07,7.84,-5.53,3.37,-1.11,0.09
5086,17208.0,2.58,7.97,-5.54,3.4,-1.06,0.04
5087,17211.0,2.68,8.16,-5.98,3.44,-1.02,0.05
5088,17214.0,3.1,8.41,-6.39,3.46,-0.92,0.16
5089,17217.0,3.1,7.72,-6.14,3.52,-0.82,0.34
5090,17221.0,3.46,7.52,-6.12,3.47,-0.89,0.33
5091,17224.0,3.52,7.32,-6.37,3.43,-0.92,0.33
5092,17227.0,3.39,6.48,-6.14,3.42,-0.91,0.19
5093,17230.0,3.26,7.62,-6.26,3.32,-0.99,0.06
5094,17233.0,2.75,6.59,-6.4,3.27,-1.0,-0.11
5095,17237.0,2.75,7.16,-6.68,3.18,-1.0,-0.24
5096,17240.0,2.37,7.68,-6.85,3.12,-0.95,-0.27
5097,17243.0,2.11,8.47,-7.04,3.12,-0.8,-0.28
5098,17246.0,1.95,8.59,-7.1,3.15,-0.68,-0.2
5099,17250.0,2.05,8.58,-7.05,3.17,-0.58,-0.13
5100,17253.0,2.09,8.43,-6.94,3.15,-0.53,-0.06
5101,17256.0,2.18,8.19,-6.91,3.11,-0.52,-0.01
5102,17259.0,2.29,7.87,-6.9,3.0,-0.56,-0.0
5103,17263.0,2.31,7.73,-6.94,2.88,-0.62,-0.02
5104,17266.0,2.33,7.7,-6.99,2.74,-0.7,-0.03
5105,17269.0,2.28,7.7,-7.09,2.59,-0.79,-0.03
5106,17272.0,2.31,7.61,-7.13,2.38,-0.93,-0.01
5107,17276.0,2.4,7.41,-7.16,2.26,-1.02,-0.01
5108,17279.0,2.56,7.08,-7.16,2.17,-1.11,-0.01
5109,17282.0,2.83,6.75,-7.24,2.12,-1.2,-0.04
5110,17285.0,3.14,6.44,-7.48,2.1,-1.3,-0.1
5111,17289.0,3.28,6.29,-7.68,2.11,-1.34,-0.15
5112,17292.0,3.35,6.25,-7.95,2.14,-1.35,-0.21
5113,17295.0,3.4,6.29,-8.18,2.18,-1.33,-0.26
5114,17298.0,3.37,6.34,-8.42,2.24,-1.27,-0.32
5115,17302.0,3.36,6.41,-8.58,2.28,-1.22,-0.36
5116,17305.0,3.36,6.4,-8.69,2.27,-1.16,-0.39
5117,17308.0,3.3,6.5,-8.87,2.23,-1.12,-0.44
5118,17311.0,3.19,6.65,-9.06,2.14,-1.04,-0.5
5119,17315.0,3.06,6.79,-9.13,2.01,-0.99,-0.54
5120,17318.0,2.88,6.98,-9.23,1.87,-0.94,-0.57
5121,17321.0,2.75,7.07,-9.18,1.71,-0.89,-0.58
5122,17324.0,2.63,7.28,-9.02,1.51,-0.84,-0.57
5123,17328.0,2.51,7.51,-8.9,1.39,-0.8,-0.55
5124,17341.0,1.58,8.02,-8.47,1.03,-0.76,-0.43
5125,17344.0,1.44,8.01,-8.5,0.86,-0.79,-0.41
5126,17348.0,1.42,7.95,-8.55,0.72,-0.8,-0.41
5127,17351.0,1.44,7.86,-8.58,0.58,-0.81,-0.42
5128,17354.0,1.55,7.75,-8.54,0.44,-0.82,-0.44
5129,17357.0,1.63,7.57,-8.51,0.26,-0.86,-0.47
5130,17361.0,1.69,7.41,-8.52,0.14,-0.87,-0.5
5131,17364.0,1.78,7.19,-8.49,0.03,-0.88,-0.52
5132,17367.0,1.87,7.01,-8.49,-0.07,-0.88,-0.53
5133,17370.0,1.93,6.84,-8.52,-0.19,-0.88,-0.56
5134,17374.0,2.03,6.73,-8.49,-0.29,-0.89,-0.57
5135,17377.0,2.11,6.62,-8.54,-0.42,-0.94,-0.6
5136,17380.0,2.19,6.53,-8.66,-0.57,-0.98,-0.64
5137,17384.0,2.3,6.51,-8.72,-0.77,-1.03,-0.7
5138,17387.0,2.3,6.58,-8.73,-0.92,-1.06,-0.75
5139,17390.0,2.19,6.72,-8.72,-1.05,-1.07,-0.78
5140,17393.0,2.05,6.88,-8.61,-1.17,-1.07,-0.81
5141,17397.0,1.82,7.14,-8.34,-1.3,-1.09,-0.81
5142,17400.0,1.66,7.33,-8.15,-1.38,-1.11,-0.81
5143,17403.0,1.5,7.44,-7.96,-1.44,-1.14,-0.8
5144,17406.0,1.37,7.47,-7.73,-1.47,-1.18,-0.81
5145,17410.0,1.26,7.56,-7.45,-1.48,-1.25,-0.85
5146,17413.0,1.18,7.57,-7.22,-1.45,-1.31,-0.9
5147,17416.0,1.09,7.56,-7.03,-1.41,-1.4,-0.95
5148,17419.0,0.96,7.56,-6.93,-1.31,-1.51,-1.02
5149,17423.0,1.0,7.61,-6.94,-1.22,-1.59,-1.06
5150,17426.0,0.95,7.7,-7.15,-1.14,-1.65,-1.09
5151,17429.0,0.88,7.79,-7.3,-1.06,-1.69,-1.12
5152,17433.0,0.74,7.95,-7.5,-1.0,-1.71,-1.15
5153,17436.0,0.65,8.03,-7.6,-0.98,-1.73,-1.17
5154,17439.0,0.53,8.08,-7.67,-0.99,-1.73,-1.2
5155,17442.0,0.44,8.09,-7.7,-1.03,-1.73,-1.23
5156,17446.0,0.37,8.07,-7.73,-1.13,-1.72,-1.29
5157,17449.0,0.31,8.04,-7.75,-1.24,-1.72,-1.33
5158,17452.0,0.28,8.0,-7.8,-1.38,-1.71,-1.36
5159,17455.0,0.23,7.96,-7.79,-1.53,-1.7,-1.39
5160,17459.0,0.1,7.97,-7.76,-1.74,-1.67,-1.42
5161,17462.0,0.07,7.98,-7.64,-1.88,-1.65,-1.43
5162,17465.0,-0.02,7.95,-7.46,-2.02,-1.64,-1.43
5163,17468.0,-0.06,7.93,-7.33,-2.16,-1.65,-1.43
5164,17472.0,-0.12,7.81,-7.22,-2.37,-1.68,-1.43
5165,17475.0,-0.19,7.74,-7.18,-2.53,-1.72,-1.44
5166,17478.0,-0.19,7.69,-7.12,-2.69,-1.75,-1.46
5167,17482.0,-0.26,7.71,-7.07,-2.91,-1.78,-1.51
5168,17495.0,-0.71,8.19,-6.29,-3.47,-1.86,-1.72
5169,17498.0,-0.82,8.25,-6.11,-3.56,-1.88,-1.78
5170,17502.0,-0.98,8.36,-5.89,-3.64,-1.91,-1.85
5171,17505.0,-1.03,8.45,-5.75,-3.7,-1.92,-1.91
5172,17508.0,-1.15,8.55,-5.65,-3.74,-1.92,-1.96
5173,17512.0,-1.25,8.66,-5.59,-3.79,-1.92,-2.02
5174,17515.0,-1.42,8.73,-5.45,-3.87,-1.91,-2.1
5175,17518.0,-1.45,8.76,-5.35,-3.92,-1.9,-2.16
5176,17521.0,-1.43,8.78,-5.21,-3.97,-1.9,-2.22
5177,17525.0,-1.36,8.82,-5.04,-4.0,-1.91,-2.3
5178,17528.0,-1.3,8.84,-4.98,-3.99,-1.92,-2.36
5179,17531.0,-1.24,8.88,-4.92,-3.95,-1.92,-2.41
5180,17535.0,-1.24,8.94,-4.91,-3.87,-1.91,-2.46
5181,17538.0,-1.24,9.03,-4.91,-3.74,-1.88,-2.52
5182,17541.0,-1.23,9.08,-4.87,-3.63,-1.84,-2.56
5183,17544.0,-1.26,9.11,-4.85,-3.51,-1.8,-2.61
5184,17548.0,-1.24,9.21,-4.84,-3.36,-1.74,-2.67
5185,17551.0,-1.3,9.34,-4.77,-3.25,-1.7,-2.71
5186,17554.0,-1.37,9.46,-4.73,-3.14,-1.64,-2.76
5187,17557.0,-1.55,9.5,-4.6,-3.03,-1.57,-2.81
5188,17561.0,-1.8,9.57,-4.37,-2.88,-1.48,-2.88
5189,17564.0,-1.98,9.64,-4.23,-2.77,-1.41,-2.93
5190,17567.0,-2.12,9.56,-4.08,-2.68,-1.35,-2.99
5191,17571.0,-2.22,9.57,-3.99,-2.6,-1.3,-3.05
5192,17574.0,-2.38,9.45,-3.9,-2.51,-1.23,-3.14
5193,17577.0,-2.37,9.34,-3.82,-2.45,-1.18,-3.21
5194,17580.0,-2.41,9.32,-3.77,-2.38,-1.13,-3.26
5195,17584.0,-2.46,9.43,-3.69,-2.27,-1.06,-3.33
5196,17587.0,-2.55,9.53,-3.6,-2.19,-1.03,-3.37
5197,17590.0,-2.67,9.71,-3.54,-2.1,-1.01,-3.41
5198,17594.0,-2.78,9.87,-3.52,-2.03,-1.0,-3.44
5199,17597.0,-2.95,9.88,-3.43,-1.95,-1.01,-3.49
5200,17610.0,-3.45,11.19,-3.39,-1.61,-1.04,-3.59
5201,17614.0,-3.7,10.35,-3.11,-1.54,-1.04,-3.64
